message_id,txn_id,customer_id,scam_scenario,sms_text,call_transcript
MSG-0001,TXN-SCAM-0001,6233,Relative in Distress Call,We have your family member. Send money now or face consequences.,"Listen carefully! We have your son in custody. If you want him back safe, transfer ₹200,000 to PAY-6370 within 30 minutes. Do not call the police or hang up!"
MSG-0002,TXN-SCAM-0002,3627,Deepfake Executive Wire Call,CONFIDENTIAL: Execute M&A deposit wire immediately per CEO direct memo.,"This is Chief Executive Officer David. We are closing a secret acquisition today. Wire ₹300,000 immediately to PAY-6400. Do not mention this to colleagues until press release."
MSG-0003,TXN-SCAM-0003,9691,Deepfake Executive Wire Call,CONFIDENTIAL: Execute M&A deposit wire immediately per CEO direct memo.,"This is Chief Executive Officer David. We are closing a secret acquisition today. Wire ₹300,000 immediately to PAY-6400. Do not mention this to colleagues until press release."
MSG-0004,TXN-SCAM-0004,1878,Bogus Investment Scheme,Exclusive Offer: Double your savings in 7 days with AI Quantum Trading. Wire initial deposit now to reserve slot.,"Sir, this is Apex Crypto Wealth. If you transfer ₹50,000 today to PAY-6410, our AI bot guarantees 250% return by Friday. Hundreds of users are already withdrawing profits."
MSG-0005,TXN-SCAM-0005,6313,Relative in Distress Call,We have your family member. Send money now or face consequences.,"Listen carefully! We have your son in custody. If you want him back safe, transfer ₹200,000 to PAY-6370 within 30 minutes. Do not call the police or hang up!"
MSG-0006,TXN-SCAM-0006,3028,Bogus Investment Scheme,Exclusive Offer: Double your savings in 7 days with AI Quantum Trading. Wire initial deposit now to reserve slot.,"Sir, this is Apex Crypto Wealth. If you transfer ₹50,000 today to PAY-6410, our AI bot guarantees 250% return by Friday. Hundreds of users are already withdrawing profits."
MSG-0007,TXN-SCAM-0007,10477,Deepfake Executive Wire Call,CONFIDENTIAL: Execute M&A deposit wire immediately per CEO direct memo.,"This is Chief Executive Officer David. We are closing a secret acquisition today. Wire ₹300,000 immediately to PAY-6400. Do not mention this to colleagues until press release."
MSG-0008,TXN-SCAM-0008,7242,Malicious QR Code Scam,"Municipal Tax Department: You have a tax refund of ₹12,500 pending. Scan QR code and approve transfer to claim.",
MSG-0009,TXN-SCAM-0009,5074,Fake Law Enforcement Coercion,LEGAL NOTICE: High Court warrant issued against your Aadhaar/SSN for money laundering. Contact Inspector Verma immediately.,"This is Inspector Verma from Crime Branch. Your name is linked to a seized cartel account. You must deposit ₹150,000 to government court escrow PAY-6380 for audit before 5 PM to avoid instant arrest."
MSG-0010,TXN-SCAM-0010,2321,Malicious QR Code Scam,"Municipal Tax Department: You have a tax refund of ₹12,500 pending. Scan QR code and approve transfer to claim.",
MSG-0011,TXN-SCAM-0011,4628,Lottery / Prize Scam,"CONGRATULATIONS! You won ₹25,00,000 in the International Mega Draw. Pay ₹25,000 processing tax to claim reward.","Congratulations ma'am! You are our lucky grand winner. Just transfer the government customs clearance fee of ₹25,000 to PAY-6320 and ₹25 Lakhs will be credited to your account within 10 minutes."
MSG-0012,TXN-SCAM-0012,7220,Deepfake Executive Wire Call,CONFIDENTIAL: Execute M&A deposit wire immediately per CEO direct memo.,"This is Chief Executive Officer David. We are closing a secret acquisition today. Wire ₹300,000 immediately to PAY-6400. Do not mention this to colleagues until press release."
MSG-0013,TXN-SCAM-0013,1751,Malicious QR Code Scam,"Municipal Tax Department: You have a tax refund of ₹12,500 pending. Scan QR code and approve transfer to claim.",
MSG-0014,TXN-SCAM-0014,1504,Fake Bank Officer Call,SECURITY ALERT: Your bank account is under unauthorized access. Call 1800-SAFE-BANK immediately to prevent asset lock.,"Hello, I am Officer Sharma from National Bank Security. We detected a suspicious login from Russia on your account. To protect your money, you must immediately transfer your funds to our temporary safe vault account PAY-6350. Do not hang up or contact anyone."
MSG-0015,TXN-SCAM-0015,1431,Fake Law Enforcement Coercion,LEGAL NOTICE: High Court warrant issued against your Aadhaar/SSN for money laundering. Contact Inspector Verma immediately.,"This is Inspector Verma from Crime Branch. Your name is linked to a seized cartel account. You must deposit ₹150,000 to government court escrow PAY-6380 for audit before 5 PM to avoid instant arrest."
MSG-0016,TXN-SCAM-0016,2375,Friend / Relative in Need Impersonation,"Hey uncle, it's Rahul. I got into an accident in Delhi and need ₹45,000 urgently for hospital deposit. Please send to PAY-6390.","Hi uncle, I lost my wallet and my car broke down. The hospital needs a cash deposit for my friend's treatment right now. Please don't call my parents, just send money to PAY-6390 urgently!"
MSG-0017,TXN-SCAM-0017,7852,Fake Law Enforcement Coercion,LEGAL NOTICE: High Court warrant issued against your Aadhaar/SSN for money laundering. Contact Inspector Verma immediately.,"This is Inspector Verma from Crime Branch. Your name is linked to a seized cartel account. You must deposit ₹150,000 to government court escrow PAY-6380 for audit before 5 PM to avoid instant arrest."
MSG-0018,TXN-SCAM-0018,4339,Fake Law Enforcement Coercion,LEGAL NOTICE: High Court warrant issued against your Aadhaar/SSN for money laundering. Contact Inspector Verma immediately.,"This is Inspector Verma from Crime Branch. Your name is linked to a seized cartel account. You must deposit ₹150,000 to government court escrow PAY-6380 for audit before 5 PM to avoid instant arrest."
MSG-0019,TXN-SCAM-0019,2995,Tech Support Remote Access Scam,CRITICAL ERROR: Windows Trojan detected! Call Microsoft Support 1800-444-TECH immediately.,"Sir, your computer is broadcasting malware to bank servers. Install AnyDesk and transfer ₹35,000 security patch license fee to PAY-6340 to prevent bank account suspension."
MSG-0020,TXN-SCAM-0020,5459,Fake Bank Officer Call,SECURITY ALERT: Your bank account is under unauthorized access. Call 1800-SAFE-BANK immediately to prevent asset lock.,"Hello, I am Officer Sharma from National Bank Security. We detected a suspicious login from Russia on your account. To protect your money, you must immediately transfer your funds to our temporary safe vault account PAY-6350. Do not hang up or contact anyone."
MSG-0021,TXN-SCAM-0021,3259,Phishing SMS / KYC Freeze,URGENT: Your KYC status expired today. Your account will be frozen in 2 hours. Click http://bank-kyc-verify.com to complete verification and update payee.,
MSG-0022,TXN-SCAM-0022,7090,Lottery / Prize Scam,"CONGRATULATIONS! You won ₹25,00,000 in the International Mega Draw. Pay ₹25,000 processing tax to claim reward.","Congratulations ma'am! You are our lucky grand winner. Just transfer the government customs clearance fee of ₹25,000 to PAY-6320 and ₹25 Lakhs will be credited to your account within 10 minutes."
MSG-0023,TXN-SCAM-0023,1012,Phishing SMS / KYC Freeze,URGENT: Your KYC status expired today. Your account will be frozen in 2 hours. Click http://bank-kyc-verify.com to complete verification and update payee.,
MSG-0024,TXN-SCAM-0024,3284,Bogus Investment Scheme,Exclusive Offer: Double your savings in 7 days with AI Quantum Trading. Wire initial deposit now to reserve slot.,"Sir, this is Apex Crypto Wealth. If you transfer ₹50,000 today to PAY-6410, our AI bot guarantees 250% return by Friday. Hundreds of users are already withdrawing profits."
MSG-0025,TXN-SCAM-0025,10407,Tech Support Remote Access Scam,CRITICAL ERROR: Windows Trojan detected! Call Microsoft Support 1800-444-TECH immediately.,"Sir, your computer is broadcasting malware to bank servers. Install AnyDesk and transfer ₹35,000 security patch license fee to PAY-6340 to prevent bank account suspension."
MSG-0026,TXN-SCAM-0026,10996,Deepfake Executive Wire Call,CONFIDENTIAL: Execute M&A deposit wire immediately per CEO direct memo.,"This is Chief Executive Officer David. We are closing a secret acquisition today. Wire ₹300,000 immediately to PAY-6400. Do not mention this to colleagues until press release."
MSG-0027,TXN-SCAM-0027,1213,Malicious QR Code Scam,"Municipal Tax Department: You have a tax refund of ₹12,500 pending. Scan QR code and approve transfer to claim.",
MSG-0028,TXN-SCAM-0028,9604,Fake Law Enforcement Coercion,LEGAL NOTICE: High Court warrant issued against your Aadhaar/SSN for money laundering. Contact Inspector Verma immediately.,"This is Inspector Verma from Crime Branch. Your name is linked to a seized cartel account. You must deposit ₹150,000 to government court escrow PAY-6380 for audit before 5 PM to avoid instant arrest."
MSG-0029,TXN-SCAM-0029,5801,Fake Bank Officer Call,SECURITY ALERT: Your bank account is under unauthorized access. Call 1800-SAFE-BANK immediately to prevent asset lock.,"Hello, I am Officer Sharma from National Bank Security. We detected a suspicious login from Russia on your account. To protect your money, you must immediately transfer your funds to our temporary safe vault account PAY-6350. Do not hang up or contact anyone."
MSG-0030,TXN-SCAM-0030,9411,Lottery / Prize Scam,"CONGRATULATIONS! You won ₹25,00,000 in the International Mega Draw. Pay ₹25,000 processing tax to claim reward.","Congratulations ma'am! You are our lucky grand winner. Just transfer the government customs clearance fee of ₹25,000 to PAY-6320 and ₹25 Lakhs will be credited to your account within 10 minutes."
MSG-0031,TXN-SCAM-0031,10136,Relative in Distress Call,We have your family member. Send money now or face consequences.,"Listen carefully! We have your son in custody. If you want him back safe, transfer ₹200,000 to PAY-6370 within 30 minutes. Do not call the police or hang up!"
MSG-0032,TXN-SCAM-0032,5577,Tech Support Remote Access Scam,CRITICAL ERROR: Windows Trojan detected! Call Microsoft Support 1800-444-TECH immediately.,"Sir, your computer is broadcasting malware to bank servers. Install AnyDesk and transfer ₹35,000 security patch license fee to PAY-6340 to prevent bank account suspension."
MSG-0033,TXN-SCAM-0033,8907,Friend / Relative in Need Impersonation,"Hey uncle, it's Rahul. I got into an accident in Delhi and need ₹45,000 urgently for hospital deposit. Please send to PAY-6390.","Hi uncle, I lost my wallet and my car broke down. The hospital needs a cash deposit for my friend's treatment right now. Please don't call my parents, just send money to PAY-6390 urgently!"
MSG-0034,TXN-SCAM-0034,8118,Friend / Relative in Need Impersonation,"Hey uncle, it's Rahul. I got into an accident in Delhi and need ₹45,000 urgently for hospital deposit. Please send to PAY-6390.","Hi uncle, I lost my wallet and my car broke down. The hospital needs a cash deposit for my friend's treatment right now. Please don't call my parents, just send money to PAY-6390 urgently!"
MSG-0035,TXN-SCAM-0035,5083,Tech Support Remote Access Scam,CRITICAL ERROR: Windows Trojan detected! Call Microsoft Support 1800-444-TECH immediately.,"Sir, your computer is broadcasting malware to bank servers. Install AnyDesk and transfer ₹35,000 security patch license fee to PAY-6340 to prevent bank account suspension."
MSG-0036,TXN-SCAM-0036,9263,Fake Law Enforcement Coercion,LEGAL NOTICE: High Court warrant issued against your Aadhaar/SSN for money laundering. Contact Inspector Verma immediately.,"This is Inspector Verma from Crime Branch. Your name is linked to a seized cartel account. You must deposit ₹150,000 to government court escrow PAY-6380 for audit before 5 PM to avoid instant arrest."
MSG-0037,TXN-SCAM-0037,6290,Deepfake Executive Wire Call,CONFIDENTIAL: Execute M&A deposit wire immediately per CEO direct memo.,"This is Chief Executive Officer David. We are closing a secret acquisition today. Wire ₹300,000 immediately to PAY-6400. Do not mention this to colleagues until press release."
MSG-0038,TXN-SCAM-0038,9042,Malicious QR Code Scam,"Municipal Tax Department: You have a tax refund of ₹12,500 pending. Scan QR code and approve transfer to claim.",
MSG-0039,TXN-SCAM-0039,6308,Friend / Relative in Need Impersonation,"Hey uncle, it's Rahul. I got into an accident in Delhi and need ₹45,000 urgently for hospital deposit. Please send to PAY-6390.","Hi uncle, I lost my wallet and my car broke down. The hospital needs a cash deposit for my friend's treatment right now. Please don't call my parents, just send money to PAY-6390 urgently!"
